user_id,income_range,transaction_count,payment_method_count,subscription_count,expense_tracking_frequency,manual_tracking_frequency,missed_transaction_frequency,budgeting_frequency,impulse_spending_tendency,digital_wallet_usage_pct,savings_behavior_pct,financial_tracking_difficulty,income_ordinal,estimated_income
RESP_IN_00001,"₹6,00,000 - ₹12,00,000",153,5,8,5,3,5,1,5,94.9,11.9,10,3,900000
RESP_IN_00002,"₹6,00,000 - ₹12,00,000",76,3,9,2,3,4,2,4,95.9,21.6,10,3,900000
RESP_IN_00003,"₹3,00,000 - ₹6,00,000",145,6,8,2,3,5,3,5,100.0,22.4,10,2,450000
RESP_IN_00004,"₹3,00,000 - ₹6,00,000",136,6,11,2,2,5,2,2,98.0,24.2,10,2,450000
RESP_IN_00005,"₹6,00,000 - ₹12,00,000",112,3,6,2,4,5,3,3,74.7,27.3,10,3,900000
RESP_IN_00006,"₹6,00,000 - ₹12,00,000",140,6,10,1,1,5,3,5,90.4,19.5,10,3,900000
RESP_IN_00007,"₹3,00,000 - ₹6,00,000",75,2,5,3,1,4,1,3,87.7,24.5,9,2,450000
RESP_IN_00008,"< ₹3,00,000",102,3,5,2,3,5,2,5,86.5,14.3,10,1,200000
RESP_IN_00009,"₹6,00,000 - ₹12,00,000",149,6,9,1,3,5,3,4,98.1,24.9,10,3,900000
RESP_IN_00010,"< ₹3,00,000",85,2,5,2,4,3,3,3,69.2,25.6,8,1,200000
RESP_IN_00011,"₹3,00,000 - ₹6,00,000",89,2,5,3,2,3,3,2,95.0,29.1,8,2,450000
RESP_IN_00012,"₹3,00,000 - ₹6,00,000",113,3,5,5,3,4,2,3,99.6,26.8,10,2,450000
RESP_IN_00013,"₹12,00,000 - ₹25,00,000",119,4,8,3,5,5,2,2,77.6,26.1,10,4,1850000
RESP_IN_00014,"₹6,00,000 - ₹12,00,000",129,5,7,3,5,5,1,3,90.2,29.5,10,3,900000
RESP_IN_00015,"< ₹3,00,000",112,5,4,2,4,5,5,4,100.0,29.2,10,1,200000
RESP_IN_00016,"₹3,00,000 - ₹6,00,000",94,2,6,3,4,3,1,2,93.3,23.8,10,2,450000
RESP_IN_00017,"< ₹3,00,000",111,4,9,1,2,5,1,5,100.0,23.1,10,1,200000
RESP_IN_00018,"₹6,00,000 - ₹12,00,000",100,3,7,2,4,5,2,1,97.7,32.7,10,3,900000
RESP_IN_00019,"> ₹25,00,000",79,1,3,1,3,3,3,4,100.0,22.0,6,5,3500000
RESP_IN_00020,"₹6,00,000 - ₹12,00,000",129,4,8,3,4,3,2,3,85.4,21.1,10,3,900000
RESP_IN_00021,"< ₹3,00,000",120,3,7,2,3,5,3,2,86.6,30.1,10,1,200000
RESP_IN_00022,"₹6,00,000 - ₹12,00,000",111,4,8,1,1,4,3,4,90.8,14.9,10,3,900000
RESP_IN_00023,"₹6,00,000 - ₹12,00,000",152,7,12,3,3,5,4,2,97.5,29.0,10,3,900000
RESP_IN_00024,"₹6,00,000 - ₹12,00,000",123,4,7,3,5,4,1,3,89.8,19.1,10,3,900000
RESP_IN_00025,"₹3,00,000 - ₹6,00,000",73,3,8,2,5,3,3,4,90.7,20.8,9,2,450000
RESP_IN_00026,"₹3,00,000 - ₹6,00,000",117,4,5,1,4,5,2,3,100.0,18.3,10,2,450000
RESP_IN_00027,"₹3,00,000 - ₹6,00,000",129,5,8,3,2,4,2,2,100.0,30.0,10,2,450000
RESP_IN_00028,"< ₹3,00,000",80,3,7,1,2,5,4,2,100.0,28.0,8,1,200000
RESP_IN_00029,"₹12,00,000 - ₹25,00,000",128,3,5,3,5,5,2,4,86.9,20.9,10,4,1850000
RESP_IN_00030,"₹6,00,000 - ₹12,00,000",102,3,6,1,3,4,1,2,78.1,13.5,10,3,900000
RESP_IN_00031,"< ₹3,00,000",91,2,5,1,4,4,1,5,58.2,10.6,10,1,200000
RESP_IN_00032,"₹6,00,000 - ₹12,00,000",156,6,11,2,4,5,2,2,86.4,29.6,10,3,900000
RESP_IN_00033,"₹6,00,000 - ₹12,00,000",132,6,10,3,1,5,1,3,86.0,17.8,10,3,900000
RESP_IN_00034,"₹3,00,000 - ₹6,00,000",125,5,9,5,2,5,3,4,100.0,24.5,10,2,450000
RESP_IN_00035,"< ₹3,00,000",140,7,10,3,2,5,1,4,84.6,14.4,10,1,200000
RESP_IN_00036,"₹6,00,000 - ₹12,00,000",133,4,8,1,2,5,2,5,78.6,10.4,10,3,900000
RESP_IN_00037,"> ₹25,00,000",166,6,12,1,4,5,3,2,100.0,26.4,10,5,3500000
RESP_IN_00038,"₹12,00,000 - ₹25,00,000",94,3,4,2,5,4,3,5,100.0,13.4,10,4,1850000
RESP_IN_00039,"₹3,00,000 - ₹6,00,000",114,4,6,1,2,5,2,3,71.3,22.1,10,2,450000
