transaction_id,date,merchant_raw,description,amount,transaction_type,payment_method,category,subcategory,merchant_clean,description_clean,text_features,log_amount,full_target
TXN_C_000346,2025-07-02 07:42:00,IRCTC RAILWAY TICKET BOOKING,Train journey 3rd AC express tickets,2751.41,debit,Credit Card,EXPENSE,Travel,IRCTC RAILWAY TICKET BOOKING,train journey 3rd ac express tickets,IRCTC RAILWAY TICKET BOOKING train journey 3rd ac express tickets,7.920232170514574,EXPENSE::Travel
TXN_C_004940,2025-11-30 14:57:00,GPAY UPI TO RAHUL SHARMA PUNE,Instant peer to peer money transfer ref:15214,6018.57,transfer,UPI,TRANSFER,Bank Transfer,GPAY UPI TO RAHUL SHARMA PUNE,instant peer to peer money transfer,GPAY UPI TO RAHUL SHARMA PUNE instant peer to peer money transfer,8.702771107180297,TRANSFER::Bank Transfer
TXN_C_001235,2025-02-25 14:14:00,NETFLIX INDIA MONTHLY PLAN,Monthly 4K Ultra HD video streaming,542.22,debit,UPI,EXPENSE,Subscriptions,NETFLIX INDIA MONTHLY PLAN,monthly 4k ultra hd video streaming,NETFLIX INDIA MONTHLY PLAN monthly 4k ultra hd video streaming,6.297514394417941,EXPENSE::Subscriptions
TXN_C_003031,2025-02-17 12:16:00,RAZORPAY*SWIGGY INSTAMART GROCERY,Pantry staples oil wheat dal spices,320.21,debit,UPI,EXPENSE,Groceries,RAZORPAY INSTAMART GROCERY,pantry staples oil wheat dal spices,RAZORPAY INSTAMART GROCERY pantry staples oil wheat dal spices,5.772095114838288,EXPENSE::Groceries
TXN_C_000182,2025-12-25 20:11:00,GOOGLE PAY REWARD CASHBACK,Scratch card UPI transaction cashback,361.67,credit,UPI,INCOME,Other Income,GOOGLE PAY REWARD CASHBACK,scratch card upi transaction cashback,GOOGLE PAY REWARD CASHBACK scratch card upi transaction cashback,5.89349332988201,INCOME::Other Income
TXN_C_001002,2025-11-26 01:19:00,PAYTM*SOCIETY MAINTENANCE CHARGES HYD,Monthly gated community maintenance water,5314.11,debit,UPI,EXPENSE,Rent & Housing,PAYTM MAINTENANCE CHARGES HYD,monthly gated community maintenance water,PAYTM MAINTENANCE CHARGES HYD monthly gated community maintenance water,8.578308986704878,EXPENSE::Rent & Housing
TXN_C_003952,2025-04-26 07:54:00,POS GPAY UPI TO RAHUL SHARMA,Instant peer to peer money transfer,14713.24,transfer,UPI,TRANSFER,Bank Transfer,GPAY UPI TO RAHUL SHARMA,instant peer to peer money transfer,GPAY UPI TO RAHUL SHARMA instant peer to peer money transfer,9.596571011355516,TRANSFER::Bank Transfer
TXN_C_003749,2025-10-19 03:49:00,RAPIDO BIKE TAXI RIDE,Quick metro station last-mile commute,149.67,debit,Paytm,EXPENSE,Transport,RAPIDO BIKE TAXI RIDE,quick metro station last mile commute,RAPIDO BIKE TAXI RIDE quick metro station last mile commute,5.015092014813197,EXPENSE::Transport
TXN_C_004667,2025-12-24 15:03:00,POS INCOME TAX REFUND CPC BANGALORE,Direct tax refund FY2024-25 credit,34456.38,credit,Direct Deposit,INCOME,Other Income,INCOME TAX REFUND CPC BANGALORE,direct tax refund fy2024 25 credit,INCOME TAX REFUND CPC BANGALORE direct tax refund fy2024 25 credit,10.447478477011561,INCOME::Other Income
TXN_C_001033,2025-10-03 17:31:00,DMART AVENUE SUPERMARTS DELHI,In-store discounted FMCG household groceries,5210.18,debit,Credit Card,EXPENSE,Groceries,DMART AVENUE SUPERMARTS DELHI,in store discounted fmcg household groceries,DMART AVENUE SUPERMARTS DELHI in store discounted fmcg household groceries,8.558561596626978,EXPENSE::Groceries
