user_id,transaction_id,date,merchant,amount,category,subcategory,transaction_type,payment_method,day_of_week,hour,is_weekend,time_of_day
USR_0030,TXN_H_0015386,2025-01-01 04:00:00,Netflix India Monthly Plan,199.0,EXPENSE,Subscriptions,debit,UPI AutoPay,2,4,0,Night
USR_0034,TXN_H_0017544,2025-01-01 04:00:00,Netflix India Monthly Plan,649.0,EXPENSE,Subscriptions,debit,UPI AutoPay,2,4,0,Night
USR_0009,TXN_H_0004275,2025-01-01 07:14:00,Rapido Bike Taxi,100.96,EXPENSE,Transport,debit,Paytm,2,7,0,Morning
USR_0011,TXN_H_0005290,2025-01-01 07:20:00,Uber India Rides,99.84,EXPENSE,Transport,debit,Paytm,2,7,0,Morning
USR_0038,TXN_H_0019662,2025-01-01 07:38:00,Ola Cabs Commute,189.41,EXPENSE,Transport,debit,Credit Card,2,7,0,Morning
USR_0038,TXN_H_0019658,2025-01-01 08:00:00,Cult.fit Elite Gym Membership,2039.36,EXPENSE,Personal Care,debit,Credit Card,2,8,0,Morning
USR_0025,TXN_H_0012740,2025-01-01 08:01:00,Zomato Restaurant,532.99,EXPENSE,Food,debit,Debit Card,2,8,0,Morning
USR_0010,TXN_H_0004781,2025-01-01 08:05:00,Rapido Bike Taxi,322.88,EXPENSE,Transport,debit,UPI,2,8,0,Morning
USR_0037,TXN_H_0019139,2025-01-01 08:48:00,Starbucks India,404.31,EXPENSE,Food,debit,Debit Card,2,8,0,Morning
USR_0031,TXN_H_0015911,2025-01-01 09:24:00,Namma Metro / Delhi Metro DMRC,200.24,EXPENSE,Transport,debit,Paytm,2,9,0,Morning
USR_0008,TXN_H_0003708,2025-01-01 09:30:00,TCS / Infosys Monthly Payroll Salary,48491.73,INCOME,Salary,credit,Direct Deposit,2,9,0,Morning
USR_0014,TXN_H_0006930,2025-01-01 09:30:00,TCS / Infosys Monthly Payroll Salary,51717.97,INCOME,Salary,credit,Direct Deposit,2,9,0,Morning
USR_0015,TXN_H_0007449,2025-01-01 09:30:00,TCS / Infosys Monthly Payroll Salary,69403.85,INCOME,Salary,credit,Direct Deposit,2,9,0,Morning
USR_0016,TXN_H_0007963,2025-01-01 09:30:00,TCS / Infosys Monthly Payroll Salary,170708.01,INCOME,Salary,credit,Direct Deposit,2,9,0,Morning
USR_0018,TXN_H_0009018,2025-01-01 09:30:00,TCS / Infosys Monthly Payroll Salary,131053.81,INCOME,Salary,credit,Direct Deposit,2,9,0,Morning
USR_0027,TXN_H_0013783,2025-01-01 09:30:00,TCS / Infosys Monthly Payroll Salary,110355.7,INCOME,Salary,credit,Direct Deposit,2,9,0,Morning
USR_0029,TXN_H_0014825,2025-01-01 09:30:00,TCS / Infosys Monthly Payroll Salary,138661.63,INCOME,Salary,credit,Direct Deposit,2,9,0,Morning
USR_0035,TXN_H_0018083,2025-01-01 09:30:00,TCS / Infosys Monthly Payroll Salary,161075.81,INCOME,Salary,credit,Direct Deposit,2,9,0,Morning
USR_0005,TXN_H_0002141,2025-01-01 09:32:00,Haldiram's,231.85,EXPENSE,Food,debit,Credit Card,2,9,0,Morning
USR_0011,TXN_H_0005289,2025-01-01 09:40:00,Swiggy Food Order,228.65,EXPENSE,Food,debit,Debit Card,2,9,0,Morning
USR_0024,TXN_H_0012192,2025-01-01 09:54:00,Namma Metro / Delhi Metro DMRC,61.88,EXPENSE,Transport,debit,Paytm,2,9,0,Morning
USR_0014,TXN_H_0006932,2025-01-01 10:09:00,Namma Metro / Delhi Metro DMRC,177.74,EXPENSE,Transport,debit,UPI,2,10,0,Morning
USR_0034,TXN_H_0017546,2025-01-01 10:19:00,Uber India Rides,181.4,EXPENSE,Transport,debit,Paytm,2,10,0,Morning
USR_0020,TXN_H_0010082,2025-01-01 10:22:00,Chai Point,500.66,EXPENSE,Food,debit,Debit Card,2,10,0,Morning
USR_0020,TXN_H_0010083,2025-01-01 10:22:00,Zomato Restaurant,506.95,EXPENSE,Food,debit,UPI,2,10,0,Morning
USR_0031,TXN_H_0015910,2025-01-01 10:27:00,Domino's Pizza,484.67,EXPENSE,Food,debit,Debit Card,2,10,0,Morning
USR_0038,TXN_H_0019661,2025-01-01 10:30:00,BigBasket Supermarket,1693.75,EXPENSE,Groceries,debit,Debit Card,2,10,0,Morning
USR_0016,TXN_H_0007965,2025-01-01 10:32:00,Chai Point,273.34,EXPENSE,Food,debit,UPI,2,10,0,Morning
USR_0036,TXN_H_0018628,2025-01-01 10:40:00,Haldiram's,397.58,EXPENSE,Food,debit,Credit Card,2,10,0,Morning
USR_0023,TXN_H_0011648,2025-01-01 11:09:00,Swiggy Food Order,223.88,EXPENSE,Food,debit,Debit Card,2,11,0,Morning
USR_0032,TXN_H_0016432,2025-01-01 11:24:00,Zomato Restaurant,513.46,EXPENSE,Food,debit,UPI,2,11,0,Morning
USR_0004,TXN_H_0001591,2025-01-01 11:28:00,Zomato Restaurant,317.74,EXPENSE,Food,debit,Debit Card,2,11,0,Morning
USR_0040,TXN_H_0020706,2025-01-01 11:54:00,Flipkart Internet,928.66,EXPENSE,Shopping,debit,Debit Card,2,11,0,Morning
USR_0040,TXN_H_0020704,2025-01-01 12:00:00,Haldiram's,236.76,EXPENSE,Food,debit,Debit Card,2,12,0,Afternoon
